,article_id,title,pub_date_dt,kword,american_behav_scientists,behav_analysis,behav_change,behav_econ,behav_insight,behav_insights_team,behav_science,behav_scientist,behavioural_economist,behavioural_fatigue,chater,halpern,herd_immunity,michie,nudge,psychologist,psychology,spi-b
0,b1_10,An equivocal book for a polarised world,2020-02-03,"['behav_econ', 'nudge']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,b1_101,US extends travel ban to UK and Ireland - as it happened;This blog is closed.Follow the latest coronavirus blog for live news and updatesSee all our coronavirus coverage,2020-03-14,"['herd_immunity', 'herd_immunity', 'herd_immunity']",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2,b1_102,"Shock and awe is a superficial coronavirus cure;Seeking herd immunity is not a satisfying quick fix, but it does acknowledge that this will be a long war",2020-03-14,"['nudge', 'herd_immunity']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3,b1_103,The Government wants us to get ill - just not too ill;Official policy on Covid-19 is just a series of educated guesses. We may not know for years if it's right,2020-03-14,"['behav_science', 'herd_immunity', 'herd_immunity']",0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
4,b1_104,DAN HODGES: We have a new British motto: Panic And Snatch Toilet Rolls,2020-03-14,"['behav_science', 'behav_science', 'herd_immunity', 'herd_immunity', 'behav_insights_team', 'herd_immunity']",0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0
5,b1_105,Public still allowed to visit care homes;HEALTH,2020-03-14,"['halpern', 'behav_insights_team']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6,b1_106,UK Government 'risky' herd immunity coronavirus plan aims to get people infected;Emeritus professor Ian Donald says the government wants most of the population to get infected rather than trying to suppress the virus like they have done in China and Singapore.,2020-03-14,"['herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'nudge', 'herd_immunity', 'herd_immunity']",0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0
7,b1_107,Johnson attempts to keep UK open for business;Politics. Medical advice ; PM believes other countries taking draconian action now will be vulnerable later,2020-03-14,"['herd_immunity', 'herd_immunity', 'herd_immunity', 'behav_science', 'michie', 'psychology', 'herd_immunity']",0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,1,0
8,b1_108,Shadow health secretary Jonathan Ashworth urges Government to take over beds in 'plush private hospitals' to cope with the impact of coronavirus,2020-03-14,['behav_science'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,b1_109,Ministers urged to come clean on model for British response,2020-03-14,"['behav_science', 'herd_immunity']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10,b1_11,"EU urged to adopt meat tax to tackle climate emergency;Levy would help offset impact of farming by raising price of steak in UK by 25%, says report",2020-02-04,"['behav_insights_team', 'behav_insights_team']",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
11,b1_110,The pleasures and perils of precrastination,2020-03-14,"['behav_econ', 'psychology', 'psychology']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
12,b1_111,"Government urged to requisition private hospital beds to cope with coronavirus impact;Labour and GMB union call on Tories to use beds in ""plush private hospitals"".",2020-03-14,"['herd_immunity', 'behav_science']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
13,b1_112,Coronavirus: Opposition parties warn government is 'playing catch-up' and must be honest with population;Boris Johnson U-turn on refusal to ban mass gatherings as other countries follow international advice,2020-03-14,"['herd_immunity', 'behav_science']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
14,b1_113,"Coronavirus: Labour calls for 8,000 private hospital beds 'to be made available';The GMB union and shadow health secretary Jonathan Ashworth called for the Government to requisition beds in ""plush private hospitals"" to ease the burden on the NHS",2020-03-14,['behav_science'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,b1_114,WHO'S WHO THE GOVERNMENT'S EXPERTS,2020-03-15,"['behav_insights_team', 'behav_insights_team', 'behav_science', 'nudge']",0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0
16,b1_115,"Haunted, exhausted and under attack as coronavirus death toll doubles;The realisation has struck No 10 that Britain has lost control of Covid-19, but it should at least look as though it is doing something",2020-03-15,"['halpern', 'behav_insights_team', 'herd_immunity', 'halpern', 'behav_insights_team', 'herd_immunity']",0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0
17,b1_116,MEET THE PM'S INNER CIRCLE OF EXPERTS,2020-03-15,"['halpern', 'behav_insights_team', 'herd_immunity']",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
18,b1_117,The men and women who are trying to keep the country going: Inside the prime minister's 'haunted and exhausted' inner circle that is battling Britain's coronavirus epidemic,2020-03-15,"['halpern', 'behav_insights_team', 'herd_immunity']",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
19,b1_118,Coronavirus: health experts fear epidemic will 'let rip' through UK;Doctors and scientists urge government to stop ignoring strategies from countries that have brought cases downCoronavirus - latest updatesSee all our coronavirus coverage,2020-03-15,"['herd_immunity', 'herd_immunity', 'herd_immunity', 'behav_science', 'behavioural_fatigue', 'behavioural_fatigue']",0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0
20,b1_119,Johnson urged to launch daily coronavirus press briefings;Call comes amid mounting criticism of media strategy mired in contradictions and lack of clarity Coronavirus - latest updatesSee all our coronavirus coverage,2020-03-15,"['halpern', 'behav_insights_team', 'herd_immunity', 'herd_immunity']",0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0
21,b1_12,TONIGHT This Is Our Family [...],2020-02-04,['american_behav_scientists'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,b1_120,"Haunted, exhausted and under attack as death toll doubles",2020-03-15,"['halpern', 'behav_insights_team', 'herd_immunity']",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
23,b1_121,"Haunted, exhausted and under attack as death toll doubles;The realisation has struck No 10 that Britain has lost control of Covid-19, but it should at least look as though it is doing something",2020-03-15,"['halpern', 'behav_insights_team', 'herd_immunity']",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
24,b1_122,"Depression from quarantine may last for years, warns ESRI",2020-03-15,['behav_science'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,b1_123,The government's herd immunity plan is callous and dangerous;Readers respond to Boris Johnson's apparent strategy to tackle the Covid-19 outbreak,2020-03-15,"['nudge', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity']",0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0
26,b1_124,"Critics are hampering efforts to tackle outbreak, says top aide;Government adviser says certain public figures fail to understand repercussions of extreme moves such as shutting schools",2020-03-15,"['michie', 'psychology', 'michie', 'behav_change', 'michie', 'michie', 'michie', 'herd_immunity', 'michie', 'michie', 'psychologist', 'michie', 'michie']",0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,1,1,0
27,b1_125,Volunteers sought for millions-strong virus army to keep nation fed and fight loneliness,2020-03-15,"['michie', 'psychologist']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
28,b1_126,"People won't get 'tired' of social distancing - the government is wrong to suggest otherwise;If people really need to stay home, they can do for months. The government's approach to coronavirus is one big gambleNick Chater was an adviser to the government's 'nudge unit'See all our coronavirus coverage",2020-03-16,"['herd_immunity', 'behav_scientist', 'behavioural_fatigue', 'behavioural_fatigue', 'chater', 'behav_science']",0,0,0,0,0,0,1,1,0,2,1,0,1,0,0,0,0,0
29,b1_127,"The public deserves clear information, not confusion, on coronavirus quarantine",2020-03-16,"['herd_immunity', 'herd_immunity', 'halpern', 'behav_insights_team', 'herd_immunity', 'behav_insights_team', 'behav_insights_team']",0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0
30,b1_128,Battle plan backlash forces PM to recalculate;Inaction on big gatherings increases fears in No 10 that Johnson will be blamed if British death rate outpaces countries in lockdown,2020-03-16,"['herd_immunity', 'herd_immunity', 'herd_immunity', 'halpern', 'behav_insights_team', 'behav_science', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity']",0,0,0,0,0,1,1,0,0,0,0,1,9,0,0,0,0,0
31,b1_129,Coronavirus: No 10 facing questions about herd immunity's human cost,2020-03-16,"['herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'behav_scientist', 'michie', 'psychology', 'herd_immunity', 'michie', 'behav_science', 'herd_immunity', 'michie']",0,0,0,0,0,0,1,1,0,0,0,0,9,3,0,0,1,0
32,b1_130,ACTION STATIONS Is the UK government doing enough to contain spread of coronavirus?,2020-03-16,"['herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'nudge', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity']",0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0
33,b1_132,Change tack or lose public support',2020-03-16,"['behav_scientist', 'michie', 'psychology', 'herd_immunity', 'michie', 'herd_immunity', 'michie']",0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,1,0
34,b1_133,Coronavirus: schools told to isolate pupils with cough;New advice published as PM is urged to shield renters from eviction,2020-03-16,"['behav_scientist', 'michie', 'psychology', 'herd_immunity']",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
35,b1_137,PM tries to regain grip as death toll rises to 35,2020-03-16,"['behav_scientist', 'michie', 'psychology', 'herd_immunity']",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
36,b1_138,Coronavirus: mass school closures in Scotland 'not inevitable',2020-03-16,"['herd_immunity', 'behav_science', 'herd_immunity', 'behav_science']",0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
37,b1_139,Public health expert says UK is 'losing time' and on a 'dangerous path';SOCIETY,2020-03-16,['behavioural_fatigue'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,b1_14,Number of renters saving for own home dwindling,2020-02-05,['behav_scientist'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,b1_140,Boris Johnson needs a lesson in the basics of coronavirus communication - but the daily briefings are a start;We need our leaders to explain precisely how we slow the spread of the virus,2020-03-16,"['behav_science', 'herd_immunity']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
40,b1_141,"DOMINIC LAWSON: Jaws, freedom loving Boris Johnson - and the Prime Minister's rather unlikely double act with a Communist",2020-03-16,"['michie', 'psychology', 'michie', 'michie', 'michie', 'michie', 'michie', 'michie', 'michie']",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0
41,b1_142,"JAWS, FREEDOM LOVING BORIS AND THE PM'S RATHER UNLIKELY DOUBLE ACT WITH A COMMUNIST",2020-03-16,"['michie', 'psychology', 'michie', 'michie', 'michie', 'michie', 'michie', 'michie', 'michie']",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0
42,b1_143,"I'll go bonkers': How over-70s are reacting to coronavirus self-isolation;'I'm a very sociable person. I do something every day. My husband and I go ballroom dancing; I go line dancing with friends. I'm certainly going to miss that,' says 76-year-old Dee Tidman",2020-03-16,['behav_science'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,b1_144,"Can Boris Johnson conjure up the spirit of the Blitz? As the coronavirus crisis worsens, the challenge and risks confronting the Prime Minister are Churchillian in magnitude, writes SIMON WALTERS",2020-03-16,"['halpern', 'herd_immunity']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
44,b1_145,Coronavirus: Schools urged to open but workers told to stay away,2020-03-17,"['herd_immunity', 'behav_science', 'herd_immunity', 'behav_science']",0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
45,b1_146,Schools urged to open but workers told to stay away,2020-03-17,"['herd_immunity', 'behav_science', 'herd_immunity', 'behav_science']",0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
46,b1_15,Social media makes you eat the same as your friends: People eat more fruit and veg 'if they think their peers on Facebook are doing the same',2020-02-06,"['psychology', 'nudge', 'nudge', 'nudge']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
47,b1_150,Coronavirus strategy tests UK's reputation for science,2020-03-17,['behav_science'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,b1_151,"How do we face coronavirus? Common decency is our only hope;Whether you're a catastrophist or a conspiracy theorist, everyone has their own way of coping with the pandemic. But what we really need is solidarity and honestySee all our coronavirus coverage",2020-03-17,['behav_science'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,b1_153,High-risk pub trips and scouring the shops for pasta - the little things are about to make a big difference,2020-03-17,"['herd_immunity', 'nudge']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
50,b1_154,"Call to protect hospital staff from coronavirus contamination;Warning after contamination found across Wuhan hospital, with virus on much equipment Coronavirus - latest updatesSee all our coronavirus coverage",2020-03-17,"['michie', 'psychology']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
51,b1_155,CAN BORIS CONJURE UP SPIRIT OF THE BLITZ?,2020-03-17,"['halpern', 'herd_immunity']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
52,b1_156,"Pantomime clown Boris Johnson flounders as crisis deepens;Hopelessly out of his depth, PM is levitas incarnate as he addresses half-empty Commons",2020-03-18,"['nudge', 'nudge']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
53,b1_157,Strategy shift Control measures take on added urgency,2020-03-18,"['behav_science', 'psychology']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
54,b1_158,"If the UK wants to act out of step, it must explain why",2020-03-18,['behav_science'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,b1_159,Top coronavirus scientist says colleagues are at odds over next steps,2020-03-18,['behav_science'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,b1_16,Winter fuel payments: is it time to throw them on the fire?;Claer Barrett Serious Money Financial Commentator of the Year,2020-02-08,['nudge'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,b1_163,Top adviser says colleagues at odds over way forward;News Coronavirus,2020-03-18,['behav_science'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,b1_164,Coronavirus: Government devises plan to stop people touching their faces;Public Health England says it is one of the biggest ways to slow the spread of the virus,2020-03-19,"['behav_insights_team', 'behav_insights_team']",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
59,b1_165,Kicking off with a nudge;MIRRORBIZNI,2020-03-19,"['behav_econ', 'nudge']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,b1_166,Weinstein is moved to maximum security jail,2020-03-19,['behav_science'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,b1_167,ADVICE TO STOP FACE-TOUCHING,2020-03-20,['behav_insights_team'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,b1_168,Coronavirus scientific advice -from hospital risk for under-50s to why schools are shut;The response to this virus is going to change how we all live our lives for the next few months -but now the government has released some of the advice that led them to make their decisions,2020-03-20,"['herd_immunity', 'behav_science', 'behav_science', 'behav_science', 'behav_science', 'behav_science']",0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
63,b1_169,"A year of social distancing to beat coronavirus, scientists tell Johnson",2020-03-20,"['behav_science', 'behav_science']",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
64,b1_17,Popular policies don't make a popular Labour Party,2020-02-10,['behav_science'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,b1_170,"Remaking One Nation: Conservatism in an Age of Crisis by Nick Timothy review - how to unite Britain: first, ditch 'ultra-liberalism';Nick Timothy, the former chief of staff to Theresa May, has good ideas about wooing blue-collar Britain, says Quentin Letts",2020-03-20,['american_behav_scientists'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,b1_174,Scientists can learn vital lessons from economists,2020-03-20,"['behav_science', 'nudge', 'herd_immunity']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
67,b1_175,"When Johnson says we'll turn the tide in 12 weeks, it's just another line for the side of a bus;There's something unsettling in seeing the prime minister repurpose his Brexit media strategy for a deadly contagion Coronavirus latest updates See all our coronavirus coverage",2020-03-20,"['herd_immunity', 'behav_science']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
68,b1_176,Dire scientific models suggest social restrictions may last until next year;Coronavirus ; The advice on which the Government based its plans for combating the virus also cast doubts on the validity of some current strategies Expert guidance,2020-03-21,"['behav_science', 'spi-b', 'spi-b', 'spi-b']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
69,b1_177,Dire scientific models suggest social restrictions may last until next year;The advice on which the Government based its plans for combating the virus also cast doubts on the validity of some current strategies Expert guidance,2020-03-21,"['behav_science', 'spi-b', 'spi-b', 'spi-b']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
70,b1_178,"How to unite Britain: first, ditch 'ultra-liberalism';Nick Timothy, the former chief of staff to Theresa May, has good ideas about wooing blue-collar Britain, says Quentin Letts",2020-03-21,['american_behav_scientists'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,b1_18,Algorithm can assess if depression drugs will work,2020-02-10,['behav_science'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,b1_182,Lockdown for a year is our best weapon against spread,2020-03-21,['behav_science'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,b1_184,Early warnings help but old strategy flawed;Analysis Cache of reports reveals that 2011 pandemic preparation plan misses the target catastrophically,2020-03-21,['behav_insight'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,b1_185,"Rioting and crime is unlikely during the coronavirus pandemic, say UK scientific advisers despite warning of flashpoints over stretched healthcare facilities or goods shortages",2020-03-21,['spi-b'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,b1_186,"Coronavirus: ten days that shook Britain - and changed the nation for ever;How Boris Johnson changed his priorities: save lives first, and then salvage the economy",2020-03-22,"['herd_immunity', 'herd_immunity', 'herd_immunity', 'halpern', 'behav_insights_team', 'herd_immunity', 'herd_immunity', 'herd_immunity']",0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0
76,b1_19,"Health inequality greater than previously thought, report finds;In the poorest areas women are getting their first long-term illness at just 47 and men at 49",2020-02-12,['behav_insight'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,b1_191,"Ten days that shook Britain - and changed the nation for ever;The inside story of how Boris Johnson changed his priorities: save lives first, and then salvage the economy",2020-03-22,"['herd_immunity', 'herd_immunity', 'herd_immunity', 'halpern', 'behav_insights_team', 'herd_immunity', 'herd_immunity', 'herd_immunity']",0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0
78,b1_192,HOW YOUR ANCESTORS ARE MAKING YOU BUY LOO ROLLS AND SELL SHARES,2020-03-22,"['psychology', 'behav_science', 'herd_immunity']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
79,b1_193,Getting rid of prejudice;This study looks at the unconscious bias that affects our everyday decisions,2020-03-22,"['psychology', 'behav_scientist']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
80,b1_194,Inside Track: Dermot Desmond keeps up appearances with facade firm Brickspan,2020-03-22,['behav_science'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81,b1_195,l Former Davy boss Tony Garry […];BUSINESS INSIDE TRACK,2020-03-22,['behav_science'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,b1_196,Sway: Unravelling Unconscious Bias by Pragya Agarwal review;This study looks at the biases that affect our everyday decisions,2020-03-22,"['psychology', 'behav_scientist']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
83,b1_197,Don't mock the panic-buyers in Asda. Ask why Boris Johnson lost the public's trust;The guidance on coronavirus changes by the hour. No wonder confusion abounds,2020-03-23,"['herd_immunity', 'halpern', 'behav_insights_team', 'behav_insights_team', 'herd_immunity', 'herd_immunity']",0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0
84,b1_199,"The PM has succeeded in private, but failed in public",2020-03-24,"['herd_immunity', 'halpern', 'behav_insights_team', 'behav_insights_team', 'herd_immunity', 'herd_immunity']",0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0
85,b1_20,The interminable torture of reading an undeserving business bestseller,2020-02-13,['american_behav_scientists'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,b1_200,"Don't just blame the public over social distancing. Look to the government;In the Covid-19 crisis, individuals must act responsibly. But weak and complacent messaging has had predictable results Coronavirus - latest updatesSee all our coronavirus coverage",2020-03-24,"['herd_immunity', 'nudge']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
87,b1_205,Expertise must be married up across all disciplines;Letters,2020-03-24,"['psychology', 'behav_econ']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
88,b1_208,IN THE TIMES TOMORROW,2020-03-24,['behav_science'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,b1_21,Paul McKenna shares his 'proven' love strategy -and how to deal with heartbreak;Hypnotist and behavioural scientist Paul McKenna has lifted the lid on the secrets to romance success in his new book Seven Things That Make or Break a ­Relationship,2020-02-14,['psychologist'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,b1_210,"Nudging people to do the right thing works;The suspicion that government has too much faith in behavioural science is wrong - if anything, it's being underused",2020-03-25,"['psychology', 'behav_science', 'nudge', 'behav_insight', 'behav_science', 'behav_science', 'behav_science', 'behav_science', 'behav_science', 'behav_science', 'behav_science', 'psychologist', 'behav_insight', 'halpern', 'behav_insights_team', 'behav_scientist', 'behav_change']",0,0,1,0,2,1,8,1,0,0,0,1,0,0,1,1,1,0
91,b1_211,"The UK's coronavirus policy may sound scientific. It isn't;Dominic Cummings loves to theorise about complexity, but he's getting it all wrong Coronavirus - latest updatesSee all our coronavirus coverage",2020-03-25,"['herd_immunity', 'herd_immunity', 'herd_immunity', 'behav_econ', 'nudge']",0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0
92,b1_212,Mass testing is the only way to stop the virus - it's long overdue;The 15-minute coronavirus tests may provide a semblance of normality as UK regions track the spread of coronavirus Anthony Costello is a former director of maternal and child health at the World Health OrganizationCoronavirus - latest updatesSee all our coronavirus coverage,2020-03-25,['behav_science'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
93,b1_213,Electric cars can transport Britain to a greener future,2020-03-25,['behav_econ'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,b1_214,Half-hearted early measures could mean lockdown remains until the end of May;Commentary,2020-03-25,"['michie', 'behav_change']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,b1_215,I'll do anything': coronavirus volunteers sign up to help NHS;Hundreds of thousands have offered their time during the crisis - here readers tell us whyCoronavirus - latest updatesAll our coronavirus coverage,2020-03-26,"['behav_scientist', 'behav_science']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
96,b1_216,"Far from being a health risk, tennis would ensure our lockdown sanity",2020-03-26,['behavioural_fatigue'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
97,b1_218,Nudging behaviour;Letters to the Editor,2020-03-27,"['behav_scientist', 'nudge', 'behav_science']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
98,b1_219,Times letters: Volunteering and the coronavirus crisis,2020-03-27,"['behav_scientist', 'nudge', 'behav_science']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
99,b1_22,"Don't laugh, but here's why you're a better investor than the experts... we reveal five reasons why you could be very good at it",2020-02-15,['behav_scientist'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,b1_220,"Coronavirus: UK sees its biggest day-on-day rise in deaths since outbreak began;The jump in coronavirus-related deaths in the UK from 578 to 759 is an increase of 181 -the biggest day-on-day rise, while 14,579 have tested positive in the country",2020-03-27,"['michie', 'behav_change']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,b1_223,"Nonchalant': Boris Johnson accused of Covid-19 complacency;Government 'too slow to act' and ministers have failed to lead by example, health experts sayCoronavirus - latest updatesSee all our coronavirus coverage",2020-03-27,"['michie', 'behav_change']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102,b1_224,Three men leading the fight against coronavirus self-isolating,2020-03-27,"['michie', 'behav_change']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103,b1_225,Scientists working to steer Britain out of coronavirus crisis targeted with death threats;Members of the public have sent threats to the publicly-funded organisation which advises the government at times of crisis,2020-03-28,"['herd_immunity', 'herd_immunity', 'herd_immunity', 'behav_science', 'spi-b']",0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1
104,b1_229,Viruses and the social instinct;Covid-19 needs human contact to flourish. Can its spread be slowed with the help of behavioural science? Anjana Ahuja reports,2020-03-28,"['psychologist', 'behav_science', 'nudge', 'nudge']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0
105,b1_23,"Economic forecasting is set up for failure, so what is its real value?",2020-02-17,"['behav_econ', 'behav_econ']",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,b1_230,YOUR BRAIN NEEDS REGULAR EXERCISE TOO,2020-03-28,['american_behav_scientists'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,b1_231,"Finding the goodness in our tribal instincts;Two books help us get to grips with tribalism but cannot escape the biases of their own tribes, writes Matthew Taylor",2020-03-28,"['psychology', 'behav_econ']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
108,b1_234,"Finding the goodness in our tribal needs;Two books help us get to grips with tribalism but cannot escape the biases of their own tribes, writes Matthew Taylor",2020-03-28,"['psychology', 'behav_econ']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
109,b1_238,Letter from the editor,2020-03-28,['behav_science'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,b1_239,FLU'S NEXT?;DESPERATE BID TO PROTECT MINISTERS Boris could have infected many others Raab on standby to take charge,2020-03-28,"['michie', 'behav_change']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,b1_24,"A citizens' assembly on climate is pointless if the government won't listen;A similar set-up broke the political deadlock in Ireland, but the Tories don't want to hear bold recommendations",2020-02-17,"['nudge', 'nudge', 'nudge']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
112,b1_241,FLU'S NEXT?;DESPERATE BID TO PROTECT MINISTERS ; lBoris could have infected many others ; lRaab on standby to take charge,2020-03-28,"['michie', 'behav_change']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
